sample-id	Bengali_cohort	Chakma_cohort	Khiyang_cohort	Marma_cohort	Tripura_cohort
BBT09	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT31	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT30	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT28	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT13	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT12	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT10	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT16	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT17	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT22	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT23	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BBT26	Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT01	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT10	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT11	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT12	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT13	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT14	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT15	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT02	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT03	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT04	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT05	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT06	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT07	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT08	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BCT09	Non-Bengali	Chakma	Non-Khiyang	Non-Marma	Non-Tripura
BKT01	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT10	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT02	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT03	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT04	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT05	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT06	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT07	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT08	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BKT09	Non-Bengali	Non-Chakma	Khiyang	Non-Marma	Non-Tripura
BMT01	Non-Bengali	Non-Chakma	Non-Khiyang	Marma	Non-Tripura
BMT02	Non-Bengali	Non-Chakma	Non-Khiyang	Marma	Non-Tripura
BMT03	Non-Bengali	Non-Chakma	Non-Khiyang	Marma	Non-Tripura
BMT04	Non-Bengali	Non-Chakma	Non-Khiyang	Marma	Non-Tripura
BMT05	Non-Bengali	Non-Chakma	Non-Khiyang	Marma	Non-Tripura
BMT06	Non-Bengali	Non-Chakma	Non-Khiyang	Marma	Non-Tripura
BTT01	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT10	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT11	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT02	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT03	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT04	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT05	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT06	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT07	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT08	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
BTT09	Non-Bengali	Non-Chakma	Non-Khiyang	Non-Marma	Tripura
